PQQITYGQJLPDFC-RKQHYHRCSA-N,"女贞子,黄连","3,4-Dihydroxyphenylethyl Alcohol Glucoside"
QOGCASCQGJEYDO-RKQHYHRCSA-N,"女贞子","Cimidahurinine"
WNBCMONIPIJTSB-JSFFLRCESA-N,"桑白皮","6-hydroxy coumarin-7-O-β-D-glucopyranoside"
FBPFZTCFMRRESA-UHFFFAOYSA-N,"昆布,女贞子,熟地黄,冬虫夏草,杜仲,地黄,干地黄","Alexitol Sodium"
PULWRMOKQNWQBD-UJURIKRHSA-N,"丹参","(Z)-3-[2-[(E)-2-(3,4-dihydroxyphenyl)vinyl]-3,4-dihydroxy-phenyl]acrylic acid"
HXCGUCZXPFBNRD-DNLMCPORSA-N,"防风,当归,北沙参","Nodakenin"
SGTCGCCQZOUMJJ-YMILTQATSA-N,"枸杞子","Scopolin"
WZRCQWQRFZITDX-UHFFFAOYSA-N,"附片,附子,生附子","1-(4-Hydroxy-Benzyl)-1,2,3,4-Tetrahydro-Isoquinoline-6,7-Diol"
WZRCQWQRFZITDX-CQSZACIVSA-N,"附子","(R)-Norcoclaurine"
AXDLCFOOGCNDST-VIFPVBQESA-N,"大黄","Rhatannin"
KLPNFWKZLQAVTH-LDCXIIFCSA-N,"北沙参","(3R')-Hydroxymarmesin 4'-O-Β-D-Glucopyranoside"
SGTCGCCQZOUMJJ-ZIRHEVKLSA-N,"枸杞子","Scopolin"
WZRCQWQRFZITDX-CQSZACIVSA-O,"附子","Demethylcoclaurine"
MZNIJRAPCCELQX-IMYOCYDQSA-N,"金银花","methyl chlorogenate"
LINJPFWMHWCNAH-DENIHFKCSA-N,"山慈菇","loroglossin_qt"
VPFUWHKTPYPNGT-UHFFFAOYSA-N,"巴豆","Crotin"
CDRPUGZCRXZLFL-UPHRSURJSA-N,"菝葜","4-[(Z)-2-(3,5-Dihydroxyphenyl)Ethenyl]Benzene-1,2-Diol"
GXSGZLLXMDVQAS-KSWRQPAISA-N,"北五味子","zingerone glucoside"
SBZWTSHAFILOTE-QLFBSQMISA-N,"麻黄","Leucocyanidin"
XIGSAGMEBXLVJJ-YFKPBYRVSA-N,"杜仲","(2S)-2-ammonio-6-ureidohexanoate"
OWBYJSNJVWQEQX-HSZRJFAPSA-N,"甘草","gancaonin T"
ILRCGYURZSFMEG-MQLXINIDSA-N,"淫羊藿,黄芩","salidroside"
HXCGUCZXPFBNRD-NEDVQNLSSA-N,"北沙参,防风","Marmesinin"
RIYORZPRGANLCW-UHFFFAOYSA-N,"枸杞子","Dihydro-N-Caffeoyltyramine"
RSAHICAPUYTWHW-UHFFFAOYSA-N,"五味子","Hexahydrocurcumin"
LWLOALZBDOVWAE-ONEGZZNKSA-N,"皂角刺","Erythro-And Threo-Guaiacylglycerol-Β-Coniferyl Aldehyde Ether"
MATGKVZWFZHCLI-LSDHHAIUSA-N,"牛蒡子,红花","Matairesinol"
HCZKYJDFEPMADG-UHFFFAOYSA-N,"五味子","Nordihydroguaiaretic Acid"
HCZKYJDFEPMADG-TXEJJXNPSA-N,"五味子","Nordihydroguaiaretic Acid"
IKKNRVAESCIIGG-JOCHJYFZSA-N,"山慈菇","Militarin_qt"
KUBCEEMXQZUPDQ-UHFFFAOYSA-O,"麦芽","Hordenine"
LVVKXRQZSRUVPY-OAHLLOKOSA-N,"苦杏仁","Machiline"
URINFYYBTXOQCT-OUUBHVDSSA-N,"天麻","Bis(4-Hydroxybenzyl)Ether Mono-Β-D-Glucopyranoside"
APJXMEVQVACVMD-KNEBKQPDSA-N,"杜仲","Threo-dihydroxydehydrodiconiferyl alcohol"
PFDVWJCSCYDRMZ-XWBZMVROSA-N,"红花","N1,N5-(Z)-N10-(E)-tri-p-coumaroylspermidine"
RFSUNEUAIZKAJO-ZXXMMSQZSA-N,"泽泻","alpha-D-fructofuranose"
SLKHLLNCFGPWAZ-CQSZACIVSA-N,"甘草","4,2',4',alpha-Tetrahydroxydihydrochalcone"
OUYCCCASQSFEME-QMMMGPOBSA-N,"半夏,山药,丹参,白术,牛蒡子,肉苁蓉,灵芝,羚羊角,白芥子,清半夏","Tyrosine"
QUFCCGRKFRVUOJ-KZUAWJKGSA-N,"金银花","5-O-Caffeoyl quinic acid butyl ester"
VPAOSFFTKWUGAD-TVKJYDDYSA-N,"北沙参","Aspartate,Asparagic Acid,Asparaginic Acid,Aspartic Acid,Skimmin"
NBCWSGSBMHILQP-GAGVYUBLSA-N,"女贞子","Dihydrosyringin"
AYMYWHCQALZEGT-KTAJNNJTSA-N,"墨旱莲","(Z)-1-(2,4-dihydroxyphenyl)-3-(3,4-dihydroxyphenyl)prop-2-en-1-one"
OMCKEPCVIFFIFM-DVYRRINYSA-N,"牛膝","niuxixinsterone C"
LNZSKFZHPHBUDI-UHFFFAOYSA-N,"丹参","1-(3,4-dihydroxyphenyl)-2-hydroxyethanone"
HNDVDQJCIGZPNO-YFKPBYRVSA-N,"土茯苓,山茱萸,半夏,山药,丹参,白术,芡实,牛蒡子,白芥子,酒萸肉,党参,清半夏","Histidine"
WSOHPJFMARQRFD-UHFFFAOYSA-N,"甘草","3-(3,4-dihydroxyphenyl)-5,7-dihydroxy-8-(3-methylbut-2-enyl)chromone"
VGYHVIBSTDGROO-ORNURSERSA-N,"牛膝","(20R,22R)-2β,3β,20,22,26-pentahydroxy-cholestan-7,12-dien-6-one"
KUBCEEMXQZUPDQ-UHFFFAOYSA-N,"麦芽,麻黄","Hordenine"
GHBFNMLVSPCDGN-JTQLQIEISA-N,"红花","[(2S)-2,3-dihydroxypropyl] octanoate"
OCUMWWYTNPGJPT-JMERFSKESA-N,"女贞子","Ligustaloside A_qt"
BJRNKVDFDLYUGJ-RMPHRYRLSA-N,"枸杞子","Arbutin"
NPOVZMYHKXTUAS-CYBMUJFWSA-N,"沉香","nubigenol"
FYEZJIXULOZDRT-LOKQZNEXSA-N,"藁本","ligusinenoside B_qt"
RZRNAYUHWVFMIP-XTXLJPNXSA-N,"急性子","glycerol-1-(9-octadecenoate)"
KPSZYAMCIRWUTK-UHFFFAOYSA-N,"附子","Pyrrolezanthine"
LWLOALZBDOVWAE-FMEUAVTJSA-N,"杜仲","(E)-3-[4-[(1R,2R)-2-hydroxy-2-(4-hydroxy-3-methoxy-phenyl)-1-methylol-ethoxy]-3-methoxy-phenyl]acrolein"
PFTAWBLQPZVEMU-UHFFFAOYSA-N,"钩藤,土茯苓,灵芝,龙葵,大枣,菝葜,白芥子,山楂,杜仲,大黄,乌梅,茯苓,丹参","Catechin"
CPWZXPYBVCANNT-UHFFFAOYSA-N,"西洋参,五味子","2-(P-Cyclohexyl-Phenoxy)Ethanol"
ABDQTIKKAYGHNV-UHFFFAOYSA-N,"桑白皮","3,5,7-trihydroxy-2-(3-hydroxyphenyl)chromone"
NPNNKDMSXVRADT-UITAMQMPSA-N,"火麻仁","(Z)-3-(4-hydroxy-3-methoxy-phenyl)-N-[2-(4-hydroxyphenyl)ethyl]acrylamide"
BMRSEYFENKXDIS-OALXIOMQSA-N,"桃仁","3-O-p-coumaroylquinic acid"
VGEREEWJJVICBM-UHFFFAOYSA-N,"巴豆","Phloretin"
NPNNKDMSXVRADT-WEVVVXLNSA-N,"大枣,黄连,枸杞子,何首乌,麦门冬,当归,酸枣仁,火麻仁,石菖蒲,麦冬","N-Trans-Feruloyl Tyramine"
PREBVFJICNPEKM-UHFFFAOYSA-N,"莪术","1,7-Bis(4-Hydroxyphenyl)Hepta-1,6-Diene-3,5-Dione"
VJFLPVLMPZGOFS-QHRIQVFBSA-N,"女贞子","Lucidumosides B_qt"
HJTVQHVGMGKONQ-UHFFFAOYSA-N,"莪术","1-(4-Hydroxy-3-Methoxyphenyl)-7-(4-Hydroxyphenyl)Hepta-1,6-Diene-3,5-Dione"
RXGUTQNKCXHALN-BJMVGYQFSA-N,"水红花子,麦冬","N-( Trans-P-Coumaroyl) Tyramine"
HIBKFQRBONXURO-UHFFFAOYSA-N,"党参","NSC405997"
ILRCGYURZSFMEG-RKQHYHRCSA-N,"女贞子,肉苁蓉","Rhodioloside,Salidroside"
PREBVFJICNPEKM-CBIKUMSCSA-N,"莪术","bisdemethoxycurcumin"
FZEUDSXYGRADHA-SPYBWZPUSA-N,"女贞子","Lucidumoside A_qt"
QJVXKWHHAMZTBY-GCPOEHJPSA-N,"党参,北沙参,杜仲,红花,肉苁蓉,藁本,忍冬藤,金银花,人参","Syringin"
HHNCJFKRMZDTHW-XKGFZTIGSA-N,"防风","Deltoin"
ZCKDCRKBURQZPT-OWOJBTEDSA-N,"半夏,清半夏","4-[(E)-3-Hydroxyprop-1-Enyl]Benzene-1,2-Diol"
IDMPEWXHBJHVIQ-UHFFFAOYSA-N,"桑白皮","Dimethyl (methylenedi-4,1-phenylene)biscarbamate"
PTMFWXXHLUSFEC-AWAQQNJZSA-N,"黄芪","isomucronulatol-7,2'-di-O-glucosiole_qt"
WDKYDMULARNCIS-GQCTYLIASA-N,"夏枯草,黄连,当归,杜仲","Ethyl Caffeate"
OOHKTNVQRTUZRS-GFCCVEGCSA-N,"麦冬","Ophiopogonanone B"
LSGOTAXPWMCUCK-RYUDHWBXSA-N,"冬虫夏草","Cyclo-L-Pro-L-Tyr"
CHAAQDMHLLQJRO-UHFFFAOYSA-N,"桑白皮","Moracin D"
XQWFHGOIUZFQPJ-NCLODGLDSA-N,"甘草","neoisoliquiritin"
DLYVTEULDNMQAR-GVFWELEYSA-N,"牛黄","methyl (4R)-4-[(3R,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoate"
NVKZAILFHGUXNI-IHWYPQMZSA-N,"甘草","3,4,3',4'-Tetrahydroxy-2-methoxychalcone"
IQPNAANSBPBGFQ-UHFFFAOYSA-N,"夏枯草,太子参,金银花,女贞子,党参,麦芽,菊花,八角茴香,半枝莲,仙鹤草,墨旱莲,紫苏子,丹参,麻黄,淫羊藿,金荞麦,红花,火麻仁,楮实子,白术,牛蒡子,龙葵,忍冬藤,白芥子,川贝母,白果","Luteolin"
CUKSFECWKQBVED-INIZCTEOSA-N,"防风","Decursin"
VSHUQLRHTJOKTA-XBXARRHUSA-N,"枸杞子","Trans-N-Caffeoyltyramine"
HHNCJFKRMZDTHW-WQRDJFRPSA-N,"防风","2-[(2S)-7-Oxo-2,3-Dihydrofuro[3,2-G]Chromen-2-Yl]Propan-2-Yl (E)-2-Methylbut-2-Enoate"
ZEEYITCRNXWBJA-UHFFFAOYSA-N,"沉香","6-Hydroxy-2-[2-(4-Hydroxyphenyl) Ethyl]Chromone"
VVURZXYIXNNJCG-GDNBJRDFSA-N,"当归","11,16-Dihydroxyoctadeca-9,17-Dien-12,14-Diynyl Acetate"
XUCRLUHFLBPVRO-UHFFFAOYSA-N,"酸枣仁","Juzirine"
VNLATJUGAZKQEH-IAGOWNOFSA-N,"人参","Panaxacol"
HSEMFIZWXHQJAE-UHFFFAOYSA-N,"山茱萸,半夏,柴胡","Amide HPL"
GNWREYFHYLIYJE-UHFFFAOYSA-N,"金荞麦","3,4-Dihydroxybenzamide"
PTFIPECGHSYQNR-UHFFFAOYSA-N,"白果","3-Pentadecylphenol"
UCKSAYIMWMIZQJ-QDEBKDIKSA-N,"甘草","Gancaonin D"
XZBZXVHVURZKCP-MLPAPPSSSA-N,"红花","Hydroxybenzoyl-coumaricanhydride"
NRDKOXSXHXTKHR-VVLHAWIVSA-N,"沉香","5Α,6Β,7Β,8Α-Tetrahydroxy-2-[2-(4'-Methoxyphenyl)Ethyl]-5,6,7,8-Tetrahydrochromone"
HHNCJFKRMZDTHW-WQRDJFRPSA-O,"防风","deltoin"
NTXXGPYGMQQSML-MNSDHWDNSA-N,"巴戟天","americanin A"
WYSWREVQEJRZIQ-UHFFFAOYSA-N,"沉香","DMPEC"
SYTYLPHCLSSCOJ-UHFFFAOYSA-N,"枸杞子","Isoscopoletin"
HUVIXLWRQSMCLN-PXRCHJMLSA-N,"金银花","2H-Pyran-5-carboxylic acid, 4-(2,2-dimethoxyethyl)-3-ethenyl-2-(beta-D-glucopyranosyloxy)-3,4-dihydro-, methyl ester, (2S,3R,4S)-"
GRQROVWZGGDYSW-IFJDUOSNSA-N,"牛黄","methyl (4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoate"
FCIXPNJJPHDAMR-IUNANRIWSA-M,"钩藤","Strictosamide"
MPCAJMNYNOGXPB-SLPGGIOYSA-N,"远志","Polygalitol"
NJCVPQRHRKYSAZ-UHFFFAOYSA-N,"桑椹","4-(3-hydroxypropyl)phenol"
AJAKLDUGVSKVDG-UFYCRDLUSA-N,"半枝莲","ARC"
RQJDUEKERVZLLU-UHFFFAOYSA-N,"天麻,白芥子","4-Hydroxybenzylamine"
WXZRLGPLHSQKGX-DEWRLHGRSA-N,"金银花","Caeruloside C_qt"
OIRDTQYFTABQOQ-FCIPNVEPSA-N,"柴胡","Ara-Furan-A"
OCIIFJFJVOTFTN-UHFFFAOYSA-N,"甘草","Gancaonin P"
WECGLUPZRHILCT-GSNKCQISSA-N,"泽泻,太子参","1-Monolinolein"
OJYLAHXKWMRDGS-UHFFFAOYSA-N,"北五味子","Zingerone"
KUSXBOZNRPQEON-LNFBDUAVSA-N,"杜仲,半夏,清半夏","(+)-Dehydrodiconiferyl Alcohol"
LYRFLYHAGKPMFH-UHFFFAOYSA-N,"山茱萸","Stearamide"
VMWUHWZFDITAOL-UHFFFAOYSA-N,"当归","2-Prop-1-En-2-Yl-2,3-Dihydrofuro[3,2-G]Chromen-7-One"
RWQNBRDOKXIBIV-UHFFFAOYSA-N,"半夏,海藻,天南星,川贝母","5-Methyluracil"
CJIJXIFQYOPWTF-UHFFFAOYSA-N,"牡丹皮","6-Hydroxycoumarin"
QQUHMASGPODSIW-RTWIXYJNSA-N,"白芍","albiflorin"
DRTQHJPVMGBUCF-YDLFOAGRSA-N,"茯苓","L-uridine"
CXQWRCVTCMQVQX-GJZGRUSLSA-N,"土茯苓,菝葜","(+)-Epitaxifolin"
UMIKWXDGXDJQJK-UHFFFAOYSA-N,"桑椹","q-Lure"
DZGWFCGJZKJUFP-UHFFFAOYSA-N,"麦芽,灵芝","Tyramine"
OCNYGKNIVPVPPX-HWKANZROSA-N,"金银花,椿皮,忍冬藤,人参","Methylcaffeate"
JMFRWRFFLBVWSI-NSCUHMNNSA-N,"女贞子,藁本,桑椹,杜仲","Coniferol"
CUYZUESBPHQWRI-UHFFFAOYSA-N,"半夏","N-(5-methylisoxazol-3-yl)acetamide"
VGYHVIBSTDGROO-YJRCXVEWSA-N,"牛膝","(20r,22r)-2beta,3beta,20,22,26-pentahydroxy-cholestan-7,12-dien-6-one"
SKWHTELMVBBPHJ-MQNTZWLQSA-N,"附子","Deltoin"
FWYSBEAFFPBAQU-GFCCVEGCSA-N,"防风,当归,北沙参","(2R)-2-(2-Hydroxypropan-2-Yl)-2,3-Dihydrofuro[3,2-G]Chromen-7-One"
GMLDZDDTZKXJLU-JKSUJKDBSA-N,"牛蒡子,沉香","(-)-Yatein"
HSTZMXCBWJGKHG-CUYWLFDKSA-N,"土茯苓,菝葜,何首乌","Piceid"
LZFOPEXOUVTGJS-ARJAWSKDSA-N,"红花","4-[(Z)-3-hydroxyprop-1-enyl]-2,6-dimethoxyphenol"
STDANUIGVXEGDJ-VPNMNMBESA-N,"金银花","dinethylsecologanoside"
JPGKBRDEEANKGY-NKUSKXMCSA-N,"急性子","Hosenkol A"
XJUDJFVOICLOMY-SFHVURJKSA-N,"甘草","8-Prenylated Eriodictyol"
GTNBYGORCDLAFG-KAJSMZSISA-N,"仙鹤草","Agrimonolide-6-O-Β-D-Glucopyranoside"
ZCFLGZLKECDZFW-BJMVGYQFSA-N,"水红花子","2-(4-hydroxyphenyl)ethyl (E)-3-(4-hydroxyphenyl)prop-2-enoate"
JYWSARFDLXXOHT-QMTLHMFBSA-N,"八角茴香","(1'S,2'S)-Anethole Glycol 2'-O-Β-D-Glucopyranoside"
VBICKXHEKHSIBG-UHFFFAOYSA-N,"太子参","Glyceryl Monostearate"
GLLUYNRFPAMGQR-PPNXFBDMSA-N,"菝葜","Glycyphyllin"
BBNYCLAREVXOSG-UHFFFAOYSA-N,"山茱萸,酒萸肉,人参","1,3-Dihydroxypropan-2-Yl Hexadecanoate"
BGXFQDFSVDZUIW-LBPRGKRZSA-N,"当归","Decursinol"
ZYVXHFWBYUDDBM-UHFFFAOYSA-N,"昆布","Felosan"
IKYKEVDKGZYRMQ-PDBXOOCHSA-N,"三七,山茱萸,桑白皮","Linolenyl alcohol"
MVLVMROFTAUDAG-UHFFFAOYSA-N,"枸杞子,急性子,川芎","Ethyloctadecanoate"
QHZLMUACJMDIAE-SFHVURJKSA-N,"泽泻,钩藤,半夏,川贝母,乳香,金荞麦","Glycerol palmitate"
PHJUPBDWRVMJQA-UHFFFAOYSA-N,"丹参","2-(4-hydroxy-3-methoxyphenyl)-5-(3-hydroxypropyl)-7-methoxy-3-benzofurancarboxaldehyde"
ICIDSZQHPUZUHC-UHFFFAOYSA-N,"金银花","Octadecylglycol"
NMNAESABLXLQEY-WUKNDPDISA-N,"蒲黄","(E)-octadec-2-en-1-ol"
OEIIVGQLDAYZNT-UHFFFAOYSA-N,"甘草","Glycybenzofuran"
BLZGPHNVMRXDCB-UXBLZVDNSA-N,"补骨脂","Broussochalcone B"
TZZAKSLHHIJRLL-UHFFFAOYSA-N,"皂角刺","4-Hydroxy-3-Methoxybenzamide"
JMSFLLZUCIXALN-WEVVVXLNSA-N,"水红花子,当归","P-Hydroxyphenethyl Trans-Ferulate"
MXHRCPNRJAMMIM-SHYZEUOFSA-N,"半夏","DUR"
MEADLGUPYQNUNF-BIIKFXOESA-N,"甘草","Gancaonin C"
BOTWFXYSPFMFNR-HMMYKYKNSA-N,"墨旱莲,半枝莲,北沙参","3,7,11,15-Tetramethylhexadec-2-En-1-Ol"
RXGUTQNKCXHALN-YHYXMXQVSA-N,"金荞麦","coumaroyltyramine"
NQRBAPDEZYMKFL-NSHDSACASA-N,"黄芪","Isomucronulatol"
VMNGEGPLZYRNAA-UHFFFAOYSA-N,"天麻","Gastrodamine"
BRYATOWTSDMLNN-UHFFFAOYSA-N,"巴戟天","2-hydroxyethyl 5-hydroxy-2-(2-hydroxybenzoyl)-4-(hydroxymethyl)benzoate"
NYWUHXBEDBSRQB-UWJYYQICSA-N,"甘草","Licoagrocarpin"
NDTPPCMMWLHFIY-GJSUQYHZSA-N,"何首乌","2,3,5,4'-Tetrahydroxystilbene-2-O-(6''-O-Acetyl)-Β-D-Glucopyranoside"
BLHQCBJSTMDZQA-LBPRGKRZSA-N,"黄芪","7-O-methylisomucronulatol"
UEPVWRDHSPMIAZ-POCZMLTISA-N,"莪术","demethoxycurrcumin"
UFMAZRUMVFVHLY-CYBMUJFWSA-N,"麦冬","Methyl Ophiopogonanone B"
PVJKHIDRVLECSY-UHFFFAOYSA-N,"桃仁","Salireposide_qt"
PHOPGVYKZWPIGA-UHFFFAOYSA-N,"女贞子","Dihydrosinapyl alcohol"
